NACHNAME;VORNAME;LIZENZNR;VEREIN;ELO_WERT;ELO_WERT_DELTA;PLATZIERUNG;ELO_KLASSIERUNG;ELO_KLASSIERUNG_HERREN
Weber;Lionel;618008;Rio-Star Muttenz;1994;10.0;1;20;20
Rushton;Andrew;108040;Meyrin;1927;0.0;2;20;20
Yang;Chengbowen;609081;Rio-Star Muttenz;1912;-8.0;3;20;20
Rosenberg;Roman;912096;T-Card;1904;0.0;4;20;20
Molnar;Csaba;312001;Lugano;1894;0.0;5;20;20
Spinicchia;Simone;311007;Lugano;1891;0.0;6;20;20
Burgis;Matiss;715036;Wil SG;1877;0.0;7;20;20
Schmid;Elia;505016;Wil SG;1870;-10.0;8;20;20
Zombori;David;714086;Meyrin;1869;0.0;9;20;20
Ding;Yi;912111;Baar;1858;-5.0;10;20;20
Möller;Fredrik;710072;Wil SG;1842;0.0;11;20;20
Champod;Nicolas;102233;Bernex;1838;0.0;12;20;20
Girod;Dorian;908238;ZZ-Lancy;1818;-5.0;13;20;20
Geminiani;Anthony;419078;Sierre;1812;12.0;14;20;20
Tschanz;Cédric;611078;Rio-Star Muttenz;1808;0.0;15;20;20
Pelz;Pekka;908142;Neuhausen;1807;7.0;16;20;20
Givone;Nolan;119020;UGS-Chênois;1802;2.0;17;20;20
Martinez;Michel;119040;Silver Star;1801;1.0;18;20;20
Stalla;Simon;119039;Silver Star;1801;1.0;19;20;20
Daus;David;809033;Rapid Luzern;1801;0.0;20;20;20
Alcayde;Guillaume;219071;La Chaux-de-Fonds;1801;1.0;21;20;20
Ecseki;Nandor;719120;Neuhausen;1800;0.0;22;20;20
Wilson;Ross;119037;Meyrin;1800;0.0;23;20;20
Posch;Lars;708022;Rio-Star Muttenz;1790;18.0;24;20;20
Oancea;Ionut;116009;Veyrier;1782;0.0;25;20;20
Lorincz;Barna;209037;Mandement;1775;1.0;26;20;20
Osiro Shinohara;Pedro Ryu;611050;Rio-Star Muttenz;1774;0.0;27;20;20
O'Driscoll;Michael;116014;Meyrin;1773;-16.0;28;20;20
Huth;Simon;816033;Rapid Luzern;1759;32.0;29;19;19
Rebetez;Yoan;206121;ZZ-Lancy;1758;0.0;30;20;20
Hardmeier;Elias;711066;Neuhausen;1752;0.0;31;20;20
Boccard;Sam;111039;ZZ-Lancy;1752;-5.0;32;20;20
Simonet;Nicolas;907089;Veyrier;1746;0.0;33;20;20
Perman;Oscar;717048;Wil SG;1743;0.0;34;20;20
Bernhard;Denis;704199;Rapperswil-Jona;1740;13.0;35;19;19
Vendé;Gaël;205079;La Chaux-de-Fonds;1734;5.0;36;19;19
Karin;Filip;705159;Neuhausen;1734;-13.0;37;20;20
Brunner;Dimitri;608028;Rapid Luzern;1732;-16.0;38;20;20
Tofalvi;Norbert;714139;Wädenswil;1730;-27.0;39;20;20
Hotz;Christian;700683;Wil SG;1728;-7.0;40;19;19
Taffé;Yanick;908067;ZZ-Lancy;1727;6.0;41;19;19
Moullet;Barish;211054;La Chaux-de-Fonds;1725;7.0;42;19;19
Taboada Valverde;Rafael;118010;Silver Star;1714;0.0;43;19;19
Jin;Linlin;703300;Baar;1709;0.0;44;19;19
Zmirou;Samy;110049;Mandement;1706;0.0;45;19;19
Miller;Thierry;403453;Bulle;1705;0.0;46;19;19
Jovchev;Nico;818021;Rapid Luzern;1697;7.0;47;19;19
Stoll;Loïc;113058;ZZ-Lancy;1687;25.0;48;19;19
Tormos;Kilian;119043;Veyrier;1685;0.0;49;19;19
Merz;Philip;805011;Lugano;1681;0.0;50;19;19
Schärrer;Mauro;712071;Neuhausen;1678;2.0;51;19;19
Memmi;Daniel;101802;Bernex;1673;0.0;52;19;19
Saidi;Farid;109001;Veyrier;1669;1.0;53;19;19
Daujat;Ludovic;117039;UGS-Chênois;1658;0.0;54;19;19
Moser;Dominik;711162;Young Stars ZH;1658;16.0;55;19;19
Rütter;Nick;719061;St. Gallen;1651;10.0;56;19;19
Givone;Benjamin;118028;UGS-Chênois;1651;-6.0;57;19;19
Märki;Julien;206013;La Chaux-de-Fonds;1649;14.0;58;19;19
Stevanovic;Nenad;101321;Meyrin;1642;-30.0;59;19;19
Hollo;Zsolt;717016;Rapperswil-Jona;1642;29.0;60;18;18
Babikian;Rémi;117025;Carouge;1637;9.0;61;18;18
Britka;Zvonimir;216006;Cortaillod;1634;-9.0;62;19;19
Rehorek;Pavel;700777;Neuhausen;1627;7.0;63;18;18
Betemps;Alexandre;104070;ZZ-Lancy;1606;3.0;64;18;18
Baudrillard;David;108004;ZZ-Lancy;1605;12.0;65;18;18
Beal;Gregory;119022;UGS-Chênois;1602;17.0;66;18;18
Klee;Tobias;704093;Affoltern A/A;1601;20.0;67;18;18
Blazek;Petr;712049;Rapperswil-Jona;1601;-14.0;68;18;18
Trummler;Linus;802082;Uster;1599;0.0;69;18;18
Suvorin;Deniel;410086;Bernex;1596;0.0;70;18;18
Vigh;Csaba;405626;Collombey/Muraz;1595;5.0;71;18;18
Renold;Stefan;701308;Bremgarten;1593;16.0;72;18;18
Reuseau;Louis;419037;Vevey;1590;5.0;73;18;18
Krstic;Filip;407110;Veyrier;1588;-22.0;74;18;18
Romanens;Bastien;412005;Fribourg;1588;-6.0;75;18;18
Schaffter;Simon;204051;Delémont;1588;3.0;76;18;18
Vorherr;Thomas;600998;Pratteln;1588;13.0;77;18;18
Loli Casio;Jhon;914400;T-Card;1585;0.0;78;18;18
Maklari;Akos;600936;Versoix;1585;-11.0;79;18;18
Wendland;Tino;700754;Young Stars ZH;1585;0.0;80;18;18
Ondis;Jozef;708013;St. Gallen;1584;-14.0;81;18;18
Lörtscher;Basil;702328;Young Stars ZH;1583;0.0;82;18;18
Truszczynski;Andrzey Romuald;506010;Thun;1582;1.0;83;18;18
Kubat;Michal;714100;St. Gallen;1579;5.0;84;18;18
Meier;Matthias;701813;Bremgarten;1575;1.0;85;18;18
Anthonioz;Luca;405249;Bulle;1574;0.0;86;18;18
Schaufelberger;Dominic;704122;Young Stars ZH;1574;-12.0;87;18;18
Adeshina Isiaka;Niniola;318002;Lugano;1572;0.0;88;18;18
Bartolomé;Rémi;115281;UGS-Chênois;1561;0.0;89;18;18
Kneuss;Olivier;404681;Fribourg;1547;0.0;90;18;18
Hintz;Rajan;502238;Rapperswil-Jona;1543;-11.0;91;18;18
Ducrey;Grégory;404067;Vevey;1542;8.0;92;17;17
Tiugan;Cristian;106081;Forward-Morges;1541;10.0;93;17;17
Karam;Salim;114047;ZZ-Lancy;1540;-10.0;94;18;18
Busslinger;Julian;705068;Young Stars ZH;1537;36.0;95;17;17
Wermelinger;Jonathan;802054;Fribourg;1535;-12.0;96;18;18
Melliger;Andrin;608026;Wädenswil;1535;0.0;97;17;17
Schmid;Roland;702051;Horgen;1533;7.0;98;17;17
Collaros;Paul-Antoine;405535;Forward-Morges;1530;-6.0;99;17;17
Niessner;Erich;601078;Schöftland;1525;6.0;100;17;17
Pelz;Matti;715026;Neuhausen;1524;9.0;101;17;17
Betti;Fabio;300765;Tenero;1523;32.0;102;17;17
Mielle;Florian;119023;UGS-Chênois;1515;10.0;103;17;17
Ott;Lukas;713021;Wädenswil;1512;1.0;104;17;17
Belissant;Florian;119016;Carouge;1511;6.0;105;17;17
Von Däniken;Samir;711140;Young Stars ZH;1510;9.0;106;16;16
Bandi;André;702802;Horgen;1508;5.0;107;17;17
Perroud;Andy;406042;Bulle;1507;0.0;108;17;17
Williams;Andrew;318006;Lugano;1506;-37.0;109;18;18
Lauper;Silvan;903020;Lenzburg;1504;-32.0;110;17;17
Ackermann;Tim;719050;Zürich-Affoltern;1502;-3.0;111;17;17
Bühlmann;Daniel;503497;Heimberg;1501;0.0;112;17;17
Fischer;Christian;502378;Aarberg;1501;-8.0;113;17;17
Borter;Eric;511095;Port;1500;14.0;114;17;17
Garcia;Laurent;206066;Sierre;1497;3.0;115;17;17
Vogel;Jean-Philippe;101133;Sierre;1496;-20.0;116;17;17
Carré;Miquel;410071;Bulle;1495;1.0;117;17;17
Nick;Filippo;300373;Uster;1495;2.0;118;17;17
Schmidli;Ben;813052;Rapid Luzern;1495;12.0;119;17;17
Loiseau;Alain;117008;Silver Star;1494;-12.0;120;17;17
Sorrentino;Giacomo;102225;UGS-Chênois;1494;13.0;121;17;17
Santomauro;Jean-François;104098;Veyrier;1493;-11.0;122;17;17
Kull;Fabian;707048;Wil SG;1490;59.0;123;16;16
Fauvel;Adrien;111005;Carouge;1483;-14.0;124;17;17
Meyer;Andreas;801916;Rapid Luzern;1482;0.0;125;17;17
Piccoli;Maël;107036;ZZ-Lancy;1481;18.0;126;16;16
Revil;Romain;119021;UGS-Chênois;1481;-24.0;127;17;17
Pade;Adam;300770;Lugano;1479;0.0;128;17;17
Jayanetti;Lakith;911002;Neuhausen;1479;32.0;129;16;16
Steinhauser;Marc;503493;Aarberg;1479;-6.0;130;17;17
Ayadi;Karim;606005;Rio-Star Muttenz;1477;27.0;131;16;16
Bregger;Julien;907129;Vevey;1476;6.0;132;17;17
Hodel;Roland;800989;Schenkon;1476;6.0;133;17;17
Falconnier;Timothy;615070;Rio-Star Muttenz;1474;-17.0;134;17;17
Wyss;Roman;502090;Ostermundigen;1474;11.0;135;16;16
Renold;Jannick;610020;Neuhausen;1474;-13.0;136;16;16
Schaffter;Cédric;235053;Rossens;1474;-7.0;137;17;17
Lusson;Louis;119002;Carouge;1472;8.0;138;16;16
Moreno;Kilian;209009;Delémont;1470;-8.0;139;17;17
Coroian;George-Räzvan;118109;Veyrier;1469;0.0;140;16;16
Trampus;Jan;801217;Kriens;1469;-28.0;141;17;17
Ortner;René;702358;Kriens;1468;-16.0;142;17;17
George;Aarkash;913100;T-Card;1468;-49.0;143;17;17
Matuschek;Nicolai;702825;Zürich-Affoltern;1467;2.0;144;16;16
Guidicelli;Nicola;311048;Lugano;1465;0.0;145;16;16
Wegmann;Thomas;700196;Wil SG;1464;6.0;146;16;16
Neuber;Oliver;716046;Chur;1463;-13.0;147;17;17
Winterberger;Manuel;503564;Ostermundigen;1462;-1.0;148;16;16
Gentile;Giovanni;700536;Wädenswil;1458;3.0;149;16;16
Mühlebach;Robin;603021;Döttingen;1455;22.0;150;16;16
Torres;Daniel;118121;Silver Star;1455;0.0;151;16;16
Schöpfer;Oliver;701464;Affoltern A/A;1454;0.0;152;16;16
Voyame;David;209042;Delémont;1451;0.0;153;16;16
Jacobsen;Jens;208016;Cortaillod;1449;0.0;154;16;16
Citaku;Linor;718041;Triesen;1447;-17.0;155;16;16
Biro-Levescot;Loris;102056;UGS-Chênois;1446;3.0;156;16;16
Morales;Samuel;513028;Heimberg;1445;15.0;157;16;16
Belz;Andreas;601059;Zofingen;1443;2.0;158;16;16
Dirand;Baptiste;119041;Silver Star;1441;1.0;159;16;16
Ritschard;Nico;511045;Ostermundigen;1440;-2.0;160;16;16
Bencze;Zsolt;609080;Pratteln;1438;-2.0;161;16;16
Vepa;Siddharth;112029;Meyrin;1437;-7.0;162;16;16
Vepa;Chaitanya;112028;Meyrin;1435;6.0;163;16;16
Demichel;Sébastien;407021;Fribourg;1435;0.0;164;16;16
Schreiber;Marc;702156;St. Gallen;1435;0.0;165;16;16
Gilliéron;Severin;504381;Ostermundigen;1434;-5.0;166;16;16
Bengui;Ilan;102432;ZZ-Lancy;1433;-4.0;167;16;16
Abreu;César;414033;Collombey/Muraz;1433;4.0;168;16;16
Freymond;Pierre-Alain;103041;ZZ-Lancy;1432;40.0;169;15;15
Hasler;Braden;112024;UGS-Chênois;1432;4.0;170;16;16
Lenggenhager;Fabian;405261;Sierre;1428;3.0;171;16;16
Mischler;Lucas;913045;Vevey;1425;-2.0;172;16;16
Stukelja;Rista;100608;Mandement;1425;2.0;173;16;16
Norden;Jens;909018;Zürich-Affoltern;1424;6.0;174;16;16
